STT;TenNgoaite;Ngoaite;TyGiaNgoaiTe-VND;Thang;Nam
1;UAE DIRHAM;AED;6558;11;2023
2;AFGHAN AFGHANI;AFN;328;11;2023
3;LEK;ALL;243;11;2023
4;ARMENIAN DRAM;AMD;60;11;2023
5;NETHANTILLIAN GUILDER;ANG;13531;11;2023
6;ANGOLAN KWANZA;AOA;29;11;2023
7;KWANZA REAJUSTADO;AOR;29;11;2023
8;ARGENTINE PESO;ARS;69;11;2023
9;AUSTRALIAN DOLLAR;AUD;15344;11;2023
10;ARUBAN GUILDER;AWG;13531;11;2023
11;AZERBAIJANIAN MANAT;AZN;14168;11;2023
12;CONVERTIBLE MARKS;BAM;13019;11;2023
13;BARBADOS DOLLAR;BBD;12043;11;2023
14;TAKA;BDT;219;11;2023
15;LEV;BGN;13090;11;2023
16;BAHARAINI DINAR;BHD;63382;11;2023
17;BURUNDI FRANC;BIF;9;11;2023
18;BERMUDIAN DOLLAR;BMD;24085;11;2023
19;BRUNEI DOLLAR;BND;17580;11;2023
20;BOLIVIANO;BOB;3511;11;2023
21;MVDOL;BOV;3511;11;2023
22;BRAZILIAN REAL;BRL;4763;11;2023
23;BAHAMIAN DOLLAR;BSD;24085;11;2023
24;NGULTRUM;BTN;289;11;2023
25;PULA;BWP;1761;11;2023
26;BELARUSIAN RUBLE;BYR;1;11;2023
27;BELIZE DOLLAR;BZD;12103;11;2023
28;CANADIAN DOLLAR;CAD;17649;11;2023
29;FRANC CONGOLAIS;CDF;10;11;2023
30;UNIDADES DE FOMENTO;CLF;802833;11;2023
31;CHILEAN PESO;CLP;27;11;2023
32;YAN RENMINBI;CNY;3298;11;2023
33;COLOMBIAN PESO;COP;6;11;2023
34;COSTA RICAN COLON;CRC;45;11;2023
35;CZECH KORUNA;CZK;1044;11;2023
36;CUBAN PESO;CUP;1004;11;2023
37;CAPE VERDE ESCUDO;CVE;231;11;2023
38;CZECH KORUNA;CZK;1044;11;2023
39;SWISS FRANC;CHF;26549;11;2023
40;EAST GERMAN MARK;DDM;10849;11;2023
41;DEUTSCH MARK;DEM;10849;11;2023
42;DJIBOUTI FRANC;DJF;136;11;2023
43;DANISH KRONE;DKK;3409;11;2023
44;DOMINICAN PESO;DOP;425;11;2023
45;ALGERIAN DINAR;DZD;177;11;2023
46;SUCRE;ECS;1;11;2023
47;UNIDAD DE VALOR CONSTANTE(UVC);ECV;1;11;2023
48;EGYPTIAN POUND;EGP;779;11;2023
49;NAKFA;ERN;1606;11;2023
50;ETHIOPIAN BIRR;ETB;434;11;2023
51;EURO;EUR;25422;11;2023
52;FIJI DOLLAR;FJD;10426;11;2023
53;FALKLAND ISLANDS POUND;FKP;19905;11;2023
54;FRENCH FRANC;FRF;3242;11;2023
55;POUND STERLING;GBP;29307;11;2023
56;LARI;GEL;8987;11;2023
57;CEDI;GHC;3;11;2023
58;DALASI;GMD;372;11;2023
59;GUINEA FRANC;GNF;3;11;2023
60;QUETZAL;GTQ;3076;11;2023
61;GUINEA BISSAU PESO;GWP;0;11;2023
62;GUYANA DOLLAR;GYD;116;11;2023
63;GIBRALTAR POUND;GIP;19905;11;2023
64;HONGKONG DOLLAR;HKD;3078;11;2023
65;LEMPIRA;HNL;977;11;2023
66;KUNA;HRK;3421;11;2023
67;GOURDE;HTG;184;11;2023
68;FORINT;HUF;67;11;2023
69;RUPIAH;IDR;2;11;2023
70;NEW ISRAELI SHEKEL;ILS;5991;11;2023
71;INDIAN RUPEE;INR;289;11;2023
72;IRAQI DINAR;IQD;18;11;2023
73;IRANIAN RIAL;IRR;1;11;2023
